Cage,Strain,AnimalName,Parameter,Width,Length,Sex
R06946,NOG,43280,Right,33.13970428,41.42463035,F
R06946,NOG,43280,Left,40.81690826,51.02113533,F
R06946,NOG,43281,Left,32.19611778,40.24514722,F
R06946,NOG,43281,Right,37.50053333,46.87566666,F
R06946,NOG,43282,Right,22.0721544,27.590193,F
R06946,NOG,43282,Left,36.94428237,46.18035297,F
R06946,NOG,43284,Left,31.35458499,39.19323124,F
R06946,NOG,43284,Right,34.95611534,43.69514418,F
R06947,NOG,43285,Right,5.070502934,6.338128667,F
R06947,NOG,43285,Left,5.895761189,7.369701486,F
R06947,NOG,43286,Left,4.317406629,5.396758286,F
R06947,NOG,43286,Right,4.876474136,6.09559267,F
R06947,NOG,43287,Left,4.184495191,5.230618988,F
R06947,NOG,43287,Right,10.83789647,13.54737059,F
R06947,NOG,43288,Right,4.256759331,5.320949163,F
R06947,NOG,43288,Left,6.270566163,7.838207703,F
R06947,NOG,43289,Left,6.951978136,8.68997267,F
R06947,NOG,43289,Right,7.229107829,9.036384786,F
R06948,NOG,43300,Left,2.771281292,3.464101615,F
R06948,NOG,43300,Right,3.893584467,4.866980583,F
R06948,NOG,43301,Right,4.882622246,6.103277808,F
R06948,NOG,43301,Left,7.963039621,9.953799526,F
R06948,NOG,43302,Left,0,0,F
R06948,NOG,43302,Right,0,0,F
R06948,NOG,43303,Right,4.935585072,6.16948134,F
R06948,NOG,43303,Left,5.579426494,6.974283117,F
R06948,NOG,43304,Right,5.019960159,6.274950199,F
R06948,NOG,43304,Left,5.023942675,6.279928344,F
R06953,Athymic Nude,43310,Left,0,0,F
R06953,Athymic Nude,43310,Right,5.440588203,6.800735254,F
R06953,Athymic Nude,43311,Right,0,0,F
R06953,Athymic Nude,43311,Left,6.737210105,8.421512631,F
R06953,Athymic Nude,43312,Left,0,0,F
R06953,Athymic Nude,43312,Right,12.77771498,15.97214372,F
R06953,Athymic Nude,43313,Left,5.698245344,7.12280668,F
R06953,Athymic Nude,43313,Right,17.32426045,21.65532556,F
R06953,Athymic Nude,43314,Left,0,0,F
R06953,Athymic Nude,43314,Right,0,0,F
R06954,Athymic Nude,43315,Right,0,0,F
R06954,Athymic Nude,43315,Left,5.092150823,6.365188528,F
R06954,Athymic Nude,43316,Right,0,0,F
R06954,Athymic Nude,43316,Left,7.896201618,9.870252023,F
R06954,Athymic Nude,43317,Left,0,0,F
R06954,Athymic Nude,43317,Right,0,0,F
R06954,Athymic Nude,43318,Left,0,0,F
R06954,Athymic Nude,43318,Right,0,0,F
R06954,Athymic Nude,43319,Right,0,0,F
R06954,Athymic Nude,43319,Left,3.847076812,4.808846015,F
R06975,Athymic Nude,43320,Left,0,0,M
R06975,Athymic Nude,43320,Right,0,0,M
R06975,Athymic Nude,43321,Left,0,0,M
R06975,Athymic Nude,43321,Right,0,0,M
R06975,Athymic Nude,43322,Left,0,0,M
R06975,Athymic Nude,43322,Right,0,0,M
R06975,Athymic Nude,43323,Left,0,0,M
R06975,Athymic Nude,43323,Right,18.11739496,22.6467437,F
R06975,Athymic Nude,43324,Left,0,0,F
R06975,Athymic Nude,43324,Right,12.1148669,15.14358362,M
R07242,NOG,43858,Left,0,0,M
R07242,NOG,43858,Right,7.723988607,9.654985759,F
R07242,NOG,43859,Left,0,0,F
R07242,NOG,43859,Right,0,0,F
R07242,NOG,43860,Left,0,0,F
R07242,NOG,43860,Right,0,0,F
R07242,NOG,43861,Left,0,0,M
R07242,NOG,43861,Right,9.940824915,12.42603114,M
R07242,NOG,43862,Left,0,0,M
R07242,NOG,43862,Right,0,0,M
R07249,NOG,43876,Left,0,0,M
R07249,NOG,43876,Right,0,0,M
R07249,NOG,43877,Left,0,0,F
R07249,NOG,43877,Right,0,0,F
R07249,NOG,43878,Left,0,0,F
R07249,NOG,43878,Right,0,0,F
R07249,NOG,43879,Left,0,0,F
R07249,NOG,43879,Right,0,0,F
R07249,NOG,43880,Left,0,0,F
R07249,NOG,43880,Right,0,0,F
R07252,NOG,43881,Left,0,0,F
R07252,NOG,43881,Right,16.1077621,20.13470263,F
R07252,NOG,43882,Right,0,0,F
R07252,NOG,43882,Left,11.11305539,13.89131923,F
R07252,NOG,43883,Left,11.60646372,14.50807965,F
R07252,NOG,43883,Right,23.58113653,29.47642066,F
R07253,NOG,43885,Left,8.89269363,11.11586704,F
R07253,NOG,43885,Right,12.55149393,15.68936742,F
R07253,NOG,43886,Left,11.72945011,14.66181264,F
R07253,NOG,43886,Right,24.3838061,30.47975763,F
R07253,NOG,43889,Left,7.319836064,9.14979508,F
R07253,NOG,43889,Right,12.84756786,16.05945983,F
R07619,Athymic Nude,47975,Left,11.37101579,14.21376973,F
R07619,Athymic Nude,47975,Right,24.52141921,30.65177401,F
R07619,Athymic Nude,47976,Right,8.879752249,11.09969031,F
R07619,Athymic Nude,47976,Left,18.97524703,23.71905879,F
R07619,Athymic Nude,47977,Left,24.48999796,30.61249745,F
R07619,Athymic Nude,47977,Right,26.72470767,33.40588459,F
R07619,Athymic Nude,47978,Left,15.15156758,18.93945947,M
R07619,Athymic Nude,47978,Right,20.05666971,25.07083714,M
R07619,Athymic Nude,47979,Right,16.62798845,20.78498557,M
R07619,Athymic Nude,47979,Left,19.31993789,24.14992236,M
R07645,Athymic Nude,48095,Left,10.87749971,13.59687464,M
R07645,Athymic Nude,48095,Right,21.49534833,26.86918542,M
R07645,Athymic Nude,48096,Left,19.59362141,24.49202676,M
R07645,Athymic Nude,48096,Right,19.98249234,24.97811542,M
R07645,Athymic Nude,48097,Left,17.08244713,21.35305891,M
R07645,Athymic Nude,48097,Right,18.24938355,22.81172944,M
R07645,Athymic Nude,48098,Left,7.457881737,9.322352171,M
R07645,Athymic Nude,48098,Right,14.21583624,17.7697953,M
R07645,Athymic Nude,48099,Left,13.26574536,16.5821817,M
R07645,Athymic Nude,48099,Right,20.98975941,26.23719926,M
R07646,Athymic Nude,48100,Left,4.841487375,6.051859218,M
R07646,Athymic Nude,48100,Right,23.50319127,29.37898909,M
R07646,Athymic Nude,48101,Left,16.23268308,20.29085385,M
R07646,Athymic Nude,48101,Right,23.79222562,29.74028203,M
R07646,Athymic Nude,48102,Left,22.32599382,27.90749227,M
R07646,Athymic Nude,48102,Right,32.38147619,40.47684523,M
R07646,Athymic Nude,48103,Left,15.68151778,19.60189723,M
R07646,Athymic Nude,48103,Right,17.64879599,22.06099499,M
R07646,Athymic Nude,48104,Left,7.662245102,9.577806377,M
R07646,Athymic Nude,48104,Right,19.38195037,24.22743796,M
R07647,Athymic Nude,48160,Left,5.846366393,7.307957991,M
R07647,Athymic Nude,48160,Right,32.8732414,41.09155175,M
R07647,Athymic Nude,48161,Left,7.260165287,9.075206609,M
R07647,Athymic Nude,48161,Right,7.702596965,9.628246206,M
R07647,Athymic Nude,48162,Right,16.59457743,20.74322178,M
R07647,Athymic Nude,48162,Left,25.01259683,31.26574603,M
R07647,Athymic Nude,48163,Left,6.648308055,8.310385069,M
R07647,Athymic Nude,48163,Right,14.49551655,18.11939569,F
R07647,Athymic Nude,48164,Left,13.70656777,17.13320971,F
R07652,Athymic Nude,48165,Right,24.59003863,30.73754829,F
R07652,Athymic Nude,48165,Left,28.39647865,35.49559832,F
R07652,Athymic Nude,48166,Left,4.876474136,6.09559267,F
R07652,Athymic Nude,48166,Right,22.26724051,27.83405064,F
R07652,Athymic Nude,48167,Right,20.39362646,25.49203307,F
R07652,Athymic Nude,48167,Left,24.39057195,30.48821494,F
R07652,Athymic Nude,48168,Left,4.774934555,5.968668193,F
R07652,Athymic Nude,48168,Right,23.90522955,29.88153694,F
R07652,Athymic Nude,48169,Left,22.24252683,27.80315854,F
R07652,Athymic Nude,48169,Right,37.14633226,46.43291532,F
R07664,NOG,48130,Right,7.767882594,9.709853243,F
R07664,NOG,48130,Left,10.93434955,13.66793693,F
R07664,NOG,48131,Right,7.950471684,9.938089605,F
R07664,NOG,48131,Left,9.25796954,11.57246192,F
R07664,NOG,48132,Right,9.752948272,12.19118534,F
R07664,NOG,48132,Left,10.68176015,13.35220019,F
R07664,NOG,48133,Right,9.125239723,11.40654965,F
R07664,NOG,48133,Left,20.87055342,26.08819177,F
R07664,NOG,48134,Left,0,0,F
R07664,NOG,48134,Right,9.263368718,11.5792109,F
R07665,NOG,48135,Left,0,0,F
R07665,NOG,48135,Right,0,0,F
R07665,NOG,48136,Left,10.6465957,13.30824463,F
R07665,NOG,48136,Right,11.3547347,14.19341837,F
R07665,NOG,48137,Right,10.54087283,13.17609104,F
R07665,NOG,48137,Left,25.15273345,31.44091681,F
R07665,NOG,48138,Right,5.372150407,6.715188009,F
R07665,NOG,48138,Left,5.801723882,7.252154852,F
R07665,NOG,48139,Left,0,0,F
R07665,NOG,48139,Right,14.4222051,18.02775638,F
R07666,NOG,48140,Right,5.8,7.25,F
R07666,NOG,48140,Left,8.51704174,10.64630217,F
R07666,NOG,48141,Left,5.668333088,7.08541636,F
R07666,NOG,48141,Right,8.691375035,10.86421879,F
